time_unix_ms,step,value,device,node
1777556143378,,0.0,cuda:0,zhustation
1777556143378,,0.0,cuda:1,zhustation
1777556143378,,0.0,cuda:2,zhustation
1777556143378,,2.0,cuda:3,zhustation
1777556149247,,0.0,cuda:0,zhustation
1777556149247,,0.0,cuda:1,zhustation
1777556149247,,0.0,cuda:2,zhustation
1777556149247,,1.0,cuda:3,zhustation
1777556158606,,0.0,cuda:0,zhustation
1777556158606,,0.0,cuda:1,zhustation
1777556158606,,0.0,cuda:2,zhustation
1777556158606,,2.0,cuda:3,zhustation
1777556168810,,0.0,cuda:0,zhustation
1777556168810,,0.0,cuda:1,zhustation
1777556168810,,0.0,cuda:2,zhustation
1777556168810,,2.0,cuda:3,zhustation
1777556178226,,0.0,cuda:0,zhustation
1777556178226,,0.0,cuda:1,zhustation
1777556178226,,0.0,cuda:2,zhustation
1777556178226,,1.0,cuda:3,zhustation
1777556188672,,0.0,cuda:0,zhustation
1777556188672,,0.0,cuda:1,zhustation
1777556188672,,1.0,cuda:2,zhustation
1777556188672,,0.0,cuda:3,zhustation
1777556198647,,0.0,cuda:0,zhustation
1777556198647,,0.0,cuda:1,zhustation
1777556198647,,0.0,cuda:2,zhustation
1777556198647,,1.0,cuda:3,zhustation
1777556208111,,0.0,cuda:0,zhustation
1777556208111,,0.0,cuda:1,zhustation
1777556208111,,0.0,cuda:2,zhustation
1777556208111,,1.0,cuda:3,zhustation
1777556217577,,0.0,cuda:0,zhustation
1777556217577,,0.0,cuda:1,zhustation
1777556217577,,0.0,cuda:2,zhustation
1777556217577,,1.0,cuda:3,zhustation
1777556227046,,0.0,cuda:0,zhustation
1777556227046,,0.0,cuda:1,zhustation
1777556227046,,0.0,cuda:2,zhustation
1777556227046,,1.0,cuda:3,zhustation
1777556235202,,0.0,cuda:0,zhustation
1777556235202,,0.0,cuda:1,zhustation
1777556235202,,0.0,cuda:2,zhustation
1777556235202,,0.0,cuda:3,zhustation
1777556240264,,73.0,cuda:0,zhustation
1777556240264,,58.0,cuda:1,zhustation
1777556240264,,85.0,cuda:2,zhustation
1777556240264,,96.0,cuda:3,zhustation
1777556245335,,41.0,cuda:0,zhustation
1777556245335,,46.0,cuda:1,zhustation
1777556245335,,44.0,cuda:2,zhustation
1777556245335,,44.0,cuda:3,zhustation
1777556250413,,55.0,cuda:0,zhustation
1777556250413,,55.0,cuda:1,zhustation
1777556250413,,55.0,cuda:2,zhustation
1777556250413,,48.0,cuda:3,zhustation
1777556255496,,45.0,cuda:0,zhustation
1777556255496,,46.0,cuda:1,zhustation
1777556255496,,43.0,cuda:2,zhustation
1777556255496,,46.0,cuda:3,zhustation
1777556260585,,37.0,cuda:0,zhustation
1777556260585,,14.0,cuda:1,zhustation
1777556260585,,18.0,cuda:2,zhustation
1777556260585,,39.0,cuda:3,zhustation
1777556265676,,33.0,cuda:0,zhustation
1777556265676,,14.0,cuda:1,zhustation
1777556265676,,40.0,cuda:2,zhustation
1777556265676,,38.0,cuda:3,zhustation
1777556270772,,29.0,cuda:0,zhustation
1777556270772,,15.0,cuda:1,zhustation
1777556270772,,38.0,cuda:2,zhustation
1777556270772,,38.0,cuda:3,zhustation
1777556275870,,80.0,cuda:0,zhustation
1777556275870,,66.0,cuda:1,zhustation
1777556275870,,100.0,cuda:2,zhustation
1777556275870,,100.0,cuda:3,zhustation
1777556281010,,100.0,cuda:0,zhustation
1777556281010,,100.0,cuda:1,zhustation
1777556281010,,100.0,cuda:2,zhustation
1777556281010,,100.0,cuda:3,zhustation
1777556286166,,100.0,cuda:0,zhustation
1777556286166,,100.0,cuda:1,zhustation
1777556286166,,100.0,cuda:2,zhustation
1777556286166,,100.0,cuda:3,zhustation
1777556291325,,100.0,cuda:0,zhustation
1777556291325,,100.0,cuda:1,zhustation
1777556291325,,100.0,cuda:2,zhustation
1777556291325,,100.0,cuda:3,zhustation
1777556296492,,100.0,cuda:0,zhustation
1777556296492,,100.0,cuda:1,zhustation
1777556296492,,100.0,cuda:2,zhustation
1777556296492,,100.0,cuda:3,zhustation
1777556301638,,100.0,cuda:0,zhustation
1777556301638,,100.0,cuda:1,zhustation
1777556301638,,100.0,cuda:2,zhustation
1777556301638,,100.0,cuda:3,zhustation
